Done in 9.838456153869629
3+00:00] Imported: 1, batch_size: 50
[2022-12-14 20:32:02.486479+00:00] Imported: 252, batch_size: 50
[2022-12-14 20:32:02.487850+00:00] Imported: 253, batch_size: 50
[2022-12-14 20:32:02.492052+00:00] Imported: 254, batch_size: 50
[2022-12-14 20:32:02.493905+00:00] Imported: 255, batch_size: 50
[2022-12-14 20:32:02.495355+00:00] Imported: 256, batch_size: 50
[2022-12-14 20:32:02.496758+00:00] Imported: 257, batch_size: 50
[2022-12-14 20:32:02.498095+00:00] Imported: 258, batch_size: 50
[2022-12-14 20:32:02.499723+00:00] Imported: 259, batch_size: 50
[2022-12-14 20:32:02.501482+00:00] Imported: 260, batch_size: 50
[2022-12-14 20:32:02.503075+00:00] Imported: 261, batch_size: 50
[2022-12-14 20:32:02.504663+00:00] Imported: 262, batch_size: 50
[2022-12-14 20:32:02.506086+00:00] Imported: 263, batch_size: 50
[2022-12-14 20:32:02.507554+00:00] Imported: 264, batch_size: 50
[2022-12-14 20:32:02.508971+00:00] Imported: 265, batch_size: 50
[2022-12-14 20:32:02.510336+00:00] Imported: 266, batch_size: 50
[2022-12-14 20:32:02.511680+00:00] Imported: 267, batch_size: 50
[2022-12-14 20:32:02.513160+00:00] Imported: 268, batch_size: 50
[2022-12-14 20:32:02.514562+00:00] Imported: 269, batch_size: 50
[2022-12-14 20:32:02.515938+00:00] Imported: 270, batch_size: 50
[2022-12-14 20:32:02.517366+00:00] Imported: 271, batch_size: 50
[2022-12-14 20:32:02.518838+00:00] Imported: 272, batch_size: 50
[2022-12-14 20:32:02.520254+00:00] Imported: 273, batch_size: 50
[2022-12-14 20:32:02.521636+00:00] Imported: 274, batch_size: 50
[2022-12-14 20:32:02.523335+00:00] Imported: 275, batch_size: 50
[2022-12-14 20:32:02.526073+00:00] Imported: 276, batch_size: 50
[2022-12-14 20:32:02.529055+00:00] Imported: 277, batch_size: 50
[2022-12-14 20:32:02.532644+00:00] Imported: 278, batch_size: 50
[2022-12-14 20:32:02.534322+00:00] Imported: 279, batch_size: 50
[2022-12-14 20:32:02.535899+00:00] Imported: 280, batch_size: 50
[2022-12-14 20:32:02.537777+00:00] Imported: 281, batch_size: 50
[2022-12-14 20:32:02.540138+00:00] Imported: 282, batch_size: 50
[2022-12-14 20:32:02.543153+00:00] Imported: 283, batch_size: 50
[2022-12-14 20:32:02.544965+00:00] Imported: 284, batch_size: 50
[2022-12-14 20:32:02.547538+00:00] Imported: 285, batch_size: 50
[2022-12-14 20:32:02.549738+00:00] Imported: 286, batch_size: 50
[2022-12-14 20:32:02.551101+00:00] Imported: 287, batch_size: 50
[2022-12-14 20:32:02.552452+00:00] Imported: 288, batch_size: 50
[2022-12-14 20:32:02.553789+00:00] Imported: 289, batch_size: 50
[2022-12-14 20:32:02.555123+00:00] Imported: 290, batch_size: 50
[2022-12-14 20:32:02.556484+00:00] Imported: 291, batch_size: 50
[2022-12-14 20:32:02.558318+00:00] Imported: 292, batch_size: 50
[2022-12-14 20:32:02.560800+00:00] Imported: 293, batch_size: 50
[2022-12-14 20:32:02.562370+00:00] Imported: 294, batch_size: 50
[2022-12-14 20:32:02.563797+00:00] Imported: 295, batch_size: 50
[2022-12-14 20:32:02.565374+00:00] Imported: 296, batch_size: 50
[2022-12-14 20:32:02.567117+00:00] Imported: 297, batch_size: 50
[2022-12-14 20:32:02.568965+00:00] Imported: 298, batch_size: 50
[2022-12-14 20:32:02.570522+00:00] Imported: 299, batch_size: 50
[2022-12-14 20:32:02.572134+00:00] Imported: 300, batch_size: 50
[2022-12-14 20:32:02.573654+00:00] Imported: 301, batch_size: 50
[2022-12-14 20:32:02.575099+00:00] Imported: 302, batch_size: 50
[2022-12-14 20:32:02.576647+00:00] Imported: 303, batch_size: 50
[2022-12-14 20:32:02.578188+00:00] Imported: 304, batch_size: 50
[2022-12-14 20:32:02.579838+00:00] Imported: 305, batch_size: 50
[2022-12-14 20:32:02.581354+00:00] Imported: 306, batch_size: 50
[2022-12-14 20:32:02.582934+00:00] Imported: 307, batch_size: 50
[2022-12-14 20:32:02.584495+00:00] Imported: 308, batch_size: 50
